rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
1,Keyf-i Mangal,35390,,4.7,1194,über 250,250,,300,20.08,3.957,Über 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Keyf-i+Mangal/data=!4m7!3m6!1s0x47bc58c3dc1a062b:0x72bdbe019be2b398!8m2!3d50.5885817!4d8.6754327!16s%2Fg%2F11c1pgkh9q!19sChIJKwYa3MNYvEcRmLPimwG-vXI?authuser=0&hl=de&rclk=1
2,neustädter Gießen,35390,,3.8,6149,201–250,201,250,225.5,3.54,3.701,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/neust%C3%A4dter+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bcedd95a2aa39f:0x7dee509e359067a2!8m2!3d50.5872149!4d8.6709549!16s%2Fg%2F1214m5b3!19sChIJn6MqWtntvEcRomeQNZ5Q7n0?authuser=0&hl=de&rclk=1
3,Au Lac Restaurant & Eventlocation Gießen,35390,,4.7,751,201–250,201,250,225.5,23.09,3.846,201 bis 250 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Au+Lac+Restaurant+%26+Eventlocation+Gie%C3%9Fen/data=!4m7!3m6!1s0x47bc59679cb25667:0x14613a97180ec855!8m2!3d50.5921311!4d8.6710196!16s%2Fg%2F11fyzb5x8x!19sChIJZ1aynGdZvEcRVcgOGJc6YRQ?authuser=0&hl=de&rclk=1
4,StadtBäckerei Gießen - Walltorstraße 10,35390,,4.4,1147,151–200,151,200,175.5,13.27,3.949,151 bis 200 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/StadtB%C3%A4ckerei+Gie%C3%9Fen+-+Walltorstra%C3%9Fe+10/data=!4m7!3m6!1s0x47bc58c17cdb192d:0x761a0ce2f18e6be4!8m2!3d50.5884103!4d8.6758902!16s%2Fg%2F11gcmtjcrz!19sChIJLRnbfMFYvEcR5GuO8eIMGnY?authuser=0&hl=de&rclk=1
5,Primecut Steakhouse,35390,,4.6,2525,101–150,101,150,125.5,4.73,4.43,101 bis 150 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Primecut+Steakhouse/data=!4m7!3m6!1s0x47bcf60214e8253f:0x79d4fc57e68f930e!8m2!3d50.5966207!4d8.7131212!16s%2Fg%2F11b6gqfqrq!19sChIJPyXoFAL2vEcRDpOP5lf81Hk?authuser=0&hl=de&rclk=1
6,Pizza Mouse,35390,,4.5,713,51–100,51,100,75.5,9.58,4.165,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Pizza+Mouse/data=!4m7!3m6!1s0x47bc58a306316461:0x7cd60be192ff39d2!8m2!3d50.5865301!4d8.6984!16s%2Fg%2F11b7k43jmd!19sChIJYWQxBqNYvEcR0jn_kuEL1nw?authuser=0&hl=de&rclk=1
7,Turhan Kebap Haus,35390,,4.6,626,51–100,51,100,75.5,10.76,4.213,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Turhan+Kebap+Haus/data=!4m7!3m6!1s0x47bc58c16682b7a3:0xd41acd2b4eb0ae7c!8m2!3d50.5885452!4d8.6762038!16s%2Fg%2F1vn_y1tg!19sChIJo7eCZsFYvEcRfK6wTivNGtQ?authuser=0&hl=de&rclk=1
8,Ristorante Adria,35390,,4.7,612,51–100,51,100,75.5,10.98,4.294,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Ristorante+Adria/data=!4m7!3m6!1s0x47bc58ef62187837:0xac4e4f06287f1800!8m2!3d50.57883!4d8.66579!16s%2Fg%2F1tdp8r0l!19sChIJN3gYYu9YvEcRABh_KAZPTqw?authuser=0&hl=de&rclk=1
9,KOIA,35390,,4.6,510,51–100,51,100,75.5,12.89,4.136,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/KOIA/data=!4m7!3m6!1s0x47bc58c27548151d:0x1b5fe2b74fcf7d20!8m2!3d50.5853026!4d8.6729959!16s%2Fg%2F11c5h2gm2d!19sChIJHRVIdcJYvEcRIH3PT7fiXxs?authuser=0&hl=de&rclk=1
10,Schwälmer Brotladen,35390,,4.3,242,51–100,51,100,75.5,23.78,3.515,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Schw%C3%A4lmer+Brotladen/data=!4m7!3m6!1s0x47bc58c2205c8511:0x582e5f216e10514b!8m2!3d50.5864779!4d8.6750624!16s%2Fg%2F11cmry75gy!19sChIJEYVcIMJYvEcRS1EQbiFfLlg?authuser=0&hl=de&rclk=1
